iter	Passed	Remaining
0	8	4713
1	15	4266
2	23	4278
3	30	4181
4	37	4063
5	44	4005
6	51	3960
7	58	3972
8	65	3944
9	72	3929
10	79	3916
11	86	3863
12	93	3850
13	100	3838
14	107	3819
15	114	3808
16	121	3794
17	127	3776
18	134	3755
19	141	3745
20	148	3741
21	155	3736
22	162	3730
23	169	3723
24	177	3717
25	184	3710
26	191	3699
27	197	3690
28	205	3689
29	212	3684
30	219	3679
31	227	3674
32	233	3665
33	240	3654
34	248	3651
35	255	3641
36	261	3628
37	268	3621
38	275	3612
39	282	3602
40	289	3596
41	296	3591
42	304	3586
43	311	3579
44	318	3570
45	325	3563
46	332	3561
47	339	3553
48	346	3545
49	353	3537
50	360	3527
51	367	3517
52	374	3510
53	381	3502
54	388	3496
55	395	3491
56	402	3482
57	409	3474
58	417	3471
59	424	3463
60	430	3452
61	437	3444
62	444	3437
63	451	3426
64	458	3420
65	465	3411
66	472	3404
67	479	3397
68	486	3388
69	492	3379
70	500	3373
71	506	3364
72	514	3360
73	521	3356
74	528	3349
75	536	3343
76	543	3336
77	550	3329
78	556	3319
79	564	3313
80	570	3305
81	578	3298
82	584	3290
83	591	3283
84	599	3278
85	606	3270
86	614	3267
87	620	3260
88	628	3253
89	635	3248
90	642	3242
91	649	3235
92	656	3228
93	663	3220
94	670	3213
95	678	3207
96	685	3201
97	692	3195
98	699	3186
99	706	3179
100	713	3171
101	720	3164
102	727	3158
103	734	3151
104	741	3144
105	748	3137
106	755	3129
107	763	3123
108	769	3114
109	776	3107
110	783	3100
111	791	3094
112	798	3086
113	804	3077
114	812	3072
115	819	3067
116	826	3060
117	833	3052
118	840	3045
119	848	3038
120	855	3032
121	861	3024
122	869	3017
123	876	3011
124	883	3004
125	890	2997
126	897	2990
127	905	2984
128	912	2977
129	919	2971
130	926	2964
131	933	2957
132	940	2950
133	948	2944
134	955	2937
135	962	2930
136	969	2922
137	976	2914
138	983	2908
139	990	2900
140	997	2892
141	1004	2886
142	1011	2880
143	1019	2874
144	1026	2867
145	1033	2860
146	1040	2853
147	1048	2847
148	1055	2839
149	1062	2832
150	1069	2825
151	1075	2816
152	1082	2809
153	1090	2802
154	1097	2797
155	1104	2790
156	1111	2782
157	1118	2774
158	1125	2768
159	1132	2761
160	1139	2753
161	1146	2746
162	1153	2739
163	1162	2735
164	1170	2730
165	1177	2723
166	1184	2716
167	1191	2709
168	1198	2702
169	1205	2695
170	1213	2688
171	1220	2681
172	1227	2674
173	1234	2667
174	1241	2659
175	1248	2652
176	1255	2645
177	1262	2638
178	1270	2632
179	1277	2626
180	1284	2619
181	1292	2612
182	1299	2605
183	1306	2598
184	1313	2591
185	1320	2583
186	1327	2577
187	1334	2570
188	1341	2562
189	1348	2555
190	1355	2548
191	1362	2540
192	1369	2533
193	1376	2526
194	1383	2519
195	1391	2512
196	1398	2506
197	1406	2500
198	1413	2493
199	1420	2486
200	1427	2479
